"","quadrat","values","site","trait"
"234","F34",0.270990220759507,"WFDP","fdis_func"
"235","F35",0.274003644180178,"WFDP","fdis_func"
"236","F36",0.254443124071298,"WFDP","fdis_func"
"237","F37",0.212128732328943,"WFDP","fdis_func"
"238","F38",0.203281881681827,"WFDP","fdis_func"
"239","F39",0.255601069780948,"WFDP","fdis_func"
"240","F40",0.220528524379316,"WFDP","fdis_func"
"241","G01",0.265988383490777,"WFDP","fdis_func"
"242","G02",0.276271274465504,"WFDP","fdis_func"
"243","G03",0.296115195435532,"WFDP","fdis_func"
"244","G04",0.238635063099613,"WFDP","fdis_func"
"245","G05",0.247285237922111,"WFDP","fdis_func"
"246","G06",0.258532676446109,"WFDP","fdis_func"
"247","G07",0.250213516853394,"WFDP","fdis_func"
"248","G08",0.217915375340567,"WFDP","fdis_func"
"249","G09",0.200004999764675,"WFDP","fdis_func"
"250","G10",0.184677961443534,"WFDP","fdis_func"
"251","G11",0.193171414686355,"WFDP","fdis_func"
"252","G12",0.154980528774185,"WFDP","fdis_func"
"253","G13",0.276773304403091,"WFDP","fdis_func"
"254","G14",0.240756704820092,"WFDP","fdis_func"
"255","G15",0.292484662354925,"WFDP","fdis_func"
"256","G16",0.288571828439512,"WFDP","fdis_func"
"257","G17",0.284124878034518,"WFDP","fdis_func"
"258","G18",0.288778727446948,"WFDP","fdis_func"
"259","G19",0.291434648789045,"WFDP","fdis_func"
"260","G20",0.128650468926832,"WFDP","fdis_func"
"261","G21",0.157561865396274,"WFDP","fdis_func"
"262","G22",0.250172572251933,"WFDP","fdis_func"
"263","G23",0.228748666750327,"WFDP","fdis_func"
"264","G24",0.245078723744622,"WFDP","fdis_func"
"265","G25",0.273511478300234,"WFDP","fdis_func"
"266","G26",0.178816080923399,"WFDP","fdis_func"
"267","G27",0.245244125316247,"WFDP","fdis_func"
"268","G28",0.248729744069445,"WFDP","fdis_func"
"269","G29",0.266925849102903,"WFDP","fdis_func"
"270","G30",0.248946125543376,"WFDP","fdis_func"
"271","G31",0.296744646696471,"WFDP","fdis_func"
"272","G32",0.237538881927067,"WFDP","fdis_func"
"273","G33",0.150877294443234,"WFDP","fdis_func"
"274","G34",0.229223930286906,"WFDP","fdis_func"
"275","G35",0.243709782563972,"WFDP","fdis_func"
"276","G36",0.278514921701833,"WFDP","fdis_func"
"277","G37",0.267680721864852,"WFDP","fdis_func"
"278","G38",0.281234394530422,"WFDP","fdis_func"
"279","G39",0.239155822541765,"WFDP","fdis_func"
"280","G40",0.23812768133616,"WFDP","fdis_func"
"281","H01",0.256618303279876,"WFDP","fdis_func"
"282","H02",0.233684377561617,"WFDP","fdis_func"
"283","H03",0.19680356340673,"WFDP","fdis_func"
"284","H04",0.183951226771714,"WFDP","fdis_func"
"285","H05",0.294751804552058,"WFDP","fdis_func"
"286","H06",0.257064716632338,"WFDP","fdis_func"
"287","H07",0.264168169776267,"WFDP","fdis_func"
"288","H08",0.280520287640744,"WFDP","fdis_func"
"289","H09",0.176142104671861,"WFDP","fdis_func"
"290","H10",0.15582324336103,"WFDP","fdis_func"
"291","H11",0.189486541892065,"WFDP","fdis_func"
"292","H12",0.186436863423309,"WFDP","fdis_func"
"293","H13",0.279452718555567,"WFDP","fdis_func"
"294","H14",0.16263797109822,"WFDP","fdis_func"
"295","H15",0.268100951351537,"WFDP","fdis_func"
"296","H16",0.286462281084463,"WFDP","fdis_func"
"297","H17",0.190088702155404,"WFDP","fdis_func"
"298","H18",0.281255080303362,"WFDP","fdis_func"
"299","H19",0.293794778777659,"WFDP","fdis_func"
"300","H20",0.290322530961295,"WFDP","fdis_func"
"301","H21",0.251443631533578,"WFDP","fdis_func"
"302","H22",0.232784536493857,"WFDP","fdis_func"
"303","H23",0.232959710557114,"WFDP","fdis_func"
"304","H24",0.184369654024486,"WFDP","fdis_func"
"305","H25",0.224260241825211,"WFDP","fdis_func"
"306","H26",0.212602040114304,"WFDP","fdis_func"
"307","H27",0.262728136997668,"WFDP","fdis_func"
"308","H28",0.19825886667621,"WFDP","fdis_func"
"309","H29",0.210193196952358,"WFDP","fdis_func"
"310","H30",0.247047845808076,"WFDP","fdis_func"
"311","H31",0.262075250920834,"WFDP","fdis_func"
"312","H32",0.160728279104271,"WFDP","fdis_func"
"313","H33",0.157065359228938,"WFDP","fdis_func"
"314","H34",0.226015199015878,"WFDP","fdis_func"
"315","H35",0.297348745990968,"WFDP","fdis_func"
"316","H36",0.292366359074478,"WFDP","fdis_func"
"317","H37",0.283430647658632,"WFDP","fdis_func"
"318","H38",0.204555965200423,"WFDP","fdis_func"
"319","H39",0.1805337071478,"WFDP","fdis_func"
"320","H40",0.195159758362421,"WFDP","fdis_func"
"321","I01",0.271663725877447,"WFDP","fdis_func"
"322","I02",0.212234591384253,"WFDP","fdis_func"
"323","I03",0.234830239462352,"WFDP","fdis_func"
"324","I04",0.185667791574008,"WFDP","fdis_func"
"325","I05",0.242895912513775,"WFDP","fdis_func"
"326","I06",0.191381510852093,"WFDP","fdis_func"
"327","I07",0.247189466615695,"WFDP","fdis_func"
"328","I08",0.270355994599344,"WFDP","fdis_func"
"329","I09",0.233455807110505,"WFDP","fdis_func"
"330","I10",0.202018143887939,"WFDP","fdis_func"
"331","I11",0.256524688692628,"WFDP","fdis_func"
"332","I12",0.293673852732457,"WFDP","fdis_func"
"333","I13",0.187265570709553,"WFDP","fdis_func"
"334","I14",0.173144836771309,"WFDP","fdis_func"
"335","I15",0.279467708944484,"WFDP","fdis_func"
"336","I16",0.26241873658909,"WFDP","fdis_func"
"337","I17",0.273757886532462,"WFDP","fdis_func"
"338","I18",0.270041210871435,"WFDP","fdis_func"
"339","I19",0.279014152459913,"WFDP","fdis_func"
"340","I20",0.144807235905606,"WFDP","fdis_func"
"341","I21",0.0654445464797908,"WFDP","fdis_func"
"342","I22",0.258493714156633,"WFDP","fdis_func"
"343","I23",0.291674009516488,"WFDP","fdis_func"
"344","I24",0.272607006612544,"WFDP","fdis_func"
"345","I25",0.290262294175104,"WFDP","fdis_func"
"346","I26",0.212029789855262,"WFDP","fdis_func"
"347","I27",0.238089860416337,"WFDP","fdis_func"
"348","I28",0.197080350330545,"WFDP","fdis_func"
"349","I29",0.269196620816646,"WFDP","fdis_func"
"350","I30",0.279723968059048,"WFDP","fdis_func"
"351","I31",0.283199563049804,"WFDP","fdis_func"
"352","I32",0.205999832268185,"WFDP","fdis_func"
"353","I33",0.240734805715423,"WFDP","fdis_func"
"354","I34",0.279974696675219,"WFDP","fdis_func"
"355","I35",0.285698810810321,"WFDP","fdis_func"
"356","I36",0.266407921966527,"WFDP","fdis_func"
"357","I37",0.251274652202441,"WFDP","fdis_func"
"358","I38",0.173767448765212,"WFDP","fdis_func"
"359","I39",0.166786112662912,"WFDP","fdis_func"
"360","I40",0.125158567179265,"WFDP","fdis_func"
"361","J01",0.204359957353091,"WFDP","fdis_func"
"362","J02",0.193271723199716,"WFDP","fdis_func"
"363","J03",0.271527482767688,"WFDP","fdis_func"
"364","J04",0.190677977414823,"WFDP","fdis_func"
"365","J05",0.142063584337399,"WFDP","fdis_func"
"366","J06",0.29513149729302,"WFDP","fdis_func"
"367","J07",0.199932058592093,"WFDP","fdis_func"
"368","J08",0.217074898832499,"WFDP","fdis_func"
"369","J09",0.292006963152829,"WFDP","fdis_func"
"370","J10",0.289923350593507,"WFDP","fdis_func"
"371","J11",0.306545626030814,"WFDP","fdis_func"
"372","J12",0.299534826179413,"WFDP","fdis_func"
"373","J13",0.245556245904349,"WFDP","fdis_func"
"374","J14",0.246772730400809,"WFDP","fdis_func"
"375","J15",0.301356443386398,"WFDP","fdis_func"
"376","J16",0.289241836367536,"WFDP","fdis_func"
"377","J17",0.26225120496965,"WFDP","fdis_func"
"378","J18",0.239535934384383,"WFDP","fdis_func"
"379","J19",0.220152045798466,"WFDP","fdis_func"
"380","J20",0.129229298165853,"WFDP","fdis_func"
"381","J21",0.226325273496565,"WFDP","fdis_func"
"382","J22",0.230621904732442,"WFDP","fdis_func"
"383","J23",0.273618493442445,"WFDP","fdis_func"
"384","J24",0.207419315771551,"WFDP","fdis_func"
"385","J25",0.201985558674781,"WFDP","fdis_func"
"386","J26",0.226137287715902,"WFDP","fdis_func"
"387","J27",0.257090534571362,"WFDP","fdis_func"
"388","J28",0.261190063626298,"WFDP","fdis_func"
"389","J29",0.170396353607824,"WFDP","fdis_func"
"390","J30",0.284844735376888,"WFDP","fdis_func"
"391","J31",0.268600900561595,"WFDP","fdis_func"
"392","J32",0.302295369210394,"WFDP","fdis_func"
"393","J33",0.238402486914944,"WFDP","fdis_func"
"394","J34",0.180814614203974,"WFDP","fdis_func"
"395","J35",0.264812478085599,"WFDP","fdis_func"
"396","J36",0.29862905323051,"WFDP","fdis_func"
"397","J37",0.271687224294903,"WFDP","fdis_func"
"398","J38",0.243203542058096,"WFDP","fdis_func"
"399","J39",0.267895693925301,"WFDP","fdis_func"
"400","J40",0.214248682258451,"WFDP","fdis_func"
"401","K01",0.165029166710126,"WFDP","fdis_func"
"402","K02",0.196930097480752,"WFDP","fdis_func"
"403","K03",0.237893307802332,"WFDP","fdis_func"
"404","K04",0.262002970140518,"WFDP","fdis_func"
"405","K05",0.248130155972168,"WFDP","fdis_func"
"406","K06",0.274015747457025,"WFDP","fdis_func"
"407","K07",0.268790262396827,"WFDP","fdis_func"
"408","K08",0.252186314113275,"WFDP","fdis_func"
"409","K09",0.199154558913847,"WFDP","fdis_func"
"410","K10",0.264048453237323,"WFDP","fdis_func"
"411","K11",0.243357637112241,"WFDP","fdis_func"
"412","K12",0.281727924440949,"WFDP","fdis_func"
"413","K13",0.279437664945433,"WFDP","fdis_func"
"414","K14",0.271000462686137,"WFDP","fdis_func"
"415","K15",0.253757892366786,"WFDP","fdis_func"
"416","K16",0.282853088810993,"WFDP","fdis_func"
"417","K17",0.227483555680046,"WFDP","fdis_func"
"418","K18",0.259202990366016,"WFDP","fdis_func"
"419","K19",0.168315604430807,"WFDP","fdis_func"
"420","K20",0.249027731370791,"WFDP","fdis_func"
"421","K21",0.287568478214794,"WFDP","fdis_func"
"422","K22",0.291856009747294,"WFDP","fdis_func"
"423","K23",0.295171207263169,"WFDP","fdis_func"
"424","K24",0.294316948588156,"WFDP","fdis_func"
"425","K25",0.221989815023747,"WFDP","fdis_func"
"426","K26",0.26868261540532,"WFDP","fdis_func"
"427","K27",0.277693394123338,"WFDP","fdis_func"
"428","K28",0.215081131810121,"WFDP","fdis_func"
"429","K29",0.225833347027848,"WFDP","fdis_func"
"430","K30",0.279686998470157,"WFDP","fdis_func"
"431","K31",0.215863284512807,"WFDP","fdis_func"
"432","K32",0.236155501601169,"WFDP","fdis_func"
"433","K33",0.256674070543486,"WFDP","fdis_func"
"434","K34",0.275971576107336,"WFDP","fdis_func"
"435","K35",0.280283076842898,"WFDP","fdis_func"
"436","K36",0.222197432885595,"WFDP","fdis_func"
"437","K37",0.292233869119708,"WFDP","fdis_func"
"438","K38",0.263039088371544,"WFDP","fdis_func"
"439","K39",0.226734243119426,"WFDP","fdis_func"
"440","K40",0.20173655058601,"WFDP","fdis_func"
"441","L01",0.291471804672879,"WFDP","fdis_func"
"442","L02",0.274298634660735,"WFDP","fdis_func"
"443","L03",0.2738048793239,"WFDP","fdis_func"
"444","L04",0.252891304970405,"WFDP","fdis_func"
"445","L05",0.294995823597747,"WFDP","fdis_func"
"446","L06",0.282771398603624,"WFDP","fdis_func"
"447","L07",0.293218132827031,"WFDP","fdis_func"
"448","L08",0.164385711571368,"WFDP","fdis_func"
"449","L09",0.291310993026901,"WFDP","fdis_func"
"450","L10",0.295462656078629,"WFDP","fdis_func"
"451","L11",0.293901816976474,"WFDP","fdis_func"
"452","L12",0.227620676835879,"WFDP","fdis_func"
"453","L13",0.258717517413147,"WFDP","fdis_func"
"454","L14",0.300582169283766,"WFDP","fdis_func"
"455","L15",0.295510055027711,"WFDP","fdis_func"
"456","L16",0.283718298264658,"WFDP","fdis_func"
"457","L17",0.115596169909931,"WFDP","fdis_func"
"458","L18",0.280649335815511,"WFDP","fdis_func"
"459","L19",0.276654867860995,"WFDP","fdis_func"
"460","L20",0.233454787184164,"WFDP","fdis_func"
"461","L21",0.276397330248661,"WFDP","fdis_func"
"462","L22",0.224791903272732,"WFDP","fdis_func"
"463","L23",0.286362218716497,"WFDP","fdis_func"
"464","L24",0.297317605907172,"WFDP","fdis_func"
"465","L25",0.278662557053022,"WFDP","fdis_func"
"466","L26",0.256577378438337,"WFDP","fdis_func"
"467","L27",0.217644880046432,"WFDP","fdis_func"
"468","L28",0.21218131454817,"WFDP","fdis_func"
"469","L29",0.258444215952756,"WFDP","fdis_func"
"470","L30",0.280583248072027,"WFDP","fdis_func"
"471","L31",0.280365399415673,"WFDP","fdis_func"
"472","L32",0.304049810878371,"WFDP","fdis_func"
"473","L33",0.301023077508491,"WFDP","fdis_func"
"474","L34",0.282358258352772,"WFDP","fdis_func"
"475","L35",0.224716572062025,"WFDP","fdis_func"
"476","L36",0.248740495125222,"WFDP","fdis_func"
"477","L37",0.285300093659051,"WFDP","fdis_func"
"478","L38",0.226398734444802,"WFDP","fdis_func"
"479","L39",0.299117709686122,"WFDP","fdis_func"
"480","L40",0.225271436929716,"WFDP","fdis_func"
"481","M01",0.269939117261864,"WFDP","fdis_func"
"482","M02",0.262933105862054,"WFDP","fdis_func"
"483","M03",0.128591112814079,"WFDP","fdis_func"
"484","M04",0.171774018462532,"WFDP","fdis_func"
"485","M05",0.295829171640331,"WFDP","fdis_func"
"486","M06",0.292226505520949,"WFDP","fdis_func"
"487","M07",0.269716836917993,"WFDP","fdis_func"
"488","M08",0.294255556888063,"WFDP","fdis_func"
"489","M09",0.284524794554524,"WFDP","fdis_func"
"490","M10",0.13466347580353,"WFDP","fdis_func"
"491","M11",0.186588918901962,"WFDP","fdis_func"
"492","M12",0.242176990059766,"WFDP","fdis_func"
"493","M13",0.290656828107315,"WFDP","fdis_func"
"494","M14",0.271828058040835,"WFDP","fdis_func"
"495","M15",0.239159020316455,"WFDP","fdis_func"
"496","M16",0.224687441274946,"WFDP","fdis_func"
"497","M17",0.251136578839984,"WFDP","fdis_func"
"498","M18",0.178405688543093,"WFDP","fdis_func"
"499","M19",0.258942447902051,"WFDP","fdis_func"
"500","M20",0.297648270963014,"WFDP","fdis_func"
"501","M21",0.214236293475931,"WFDP","fdis_func"
"502","M22",0.18455642438928,"WFDP","fdis_func"
"503","M23",0.236523366879354,"WFDP","fdis_func"
"504","M24",0.284277248371865,"WFDP","fdis_func"
"505","M25",0.273456762962351,"WFDP","fdis_func"
"506","M26",0.294155004766927,"WFDP","fdis_func"
"507","M27",0.251549340526873,"WFDP","fdis_func"
"508","M28",0.237937071067079,"WFDP","fdis_func"
"509","M29",0.292160527096822,"WFDP","fdis_func"
"510","M30",0.195807794909808,"WFDP","fdis_func"
"511","M31",0.263749555392825,"WFDP","fdis_func"
"512","M32",0.279692187821371,"WFDP","fdis_func"
"513","M33",0.284950562335362,"WFDP","fdis_func"
"514","M34",0.276290775605417,"WFDP","fdis_func"
"515","M35",0.294948655769903,"WFDP","fdis_func"
"516","M36",0.233280381005541,"WFDP","fdis_func"
"517","M37",0.254058131523638,"WFDP","fdis_func"
