"site","mean_dis","type","obs"
"TRCP",0.969509950592497,"meta","exp"
"WFDP",0.896428757170113,"meta","exp"
"SERC",0.781583118398351,"meta","exp"
"TRCP",0.951195790130262,"meta","exp"
"WFDP",0.878369556283923,"meta","exp"
"SERC",0.85483247774201,"meta","exp"
"TRCP",0.935221431739843,"meta","exp"
"WFDP",0.849563627056356,"meta","exp"
"SERC",0.815778298647833,"meta","exp"
"TRCP",0.894175972811431,"meta","exp"
"WFDP",0.913858577328388,"meta","exp"
"SERC",0.832055235197473,"meta","exp"
"TRCP",0.95938423359502,"meta","exp"
"WFDP",0.903164623696704,"meta","exp"
"SERC",0.849312207853083,"meta","exp"
"TRCP",0.925932310339696,"meta","exp"
"WFDP",0.841401953281259,"meta","exp"
"SERC",0.819475419164152,"meta","exp"
"TRCP",0.922915508735075,"meta","exp"
"WFDP",0.875927888892461,"meta","exp"
"SERC",0.823116439269649,"meta","exp"
"TRCP",0.958056934329824,"meta","exp"
"WFDP",0.868073919325659,"meta","exp"
"SERC",0.807614329901561,"meta","exp"
"TRCP",0.962866134156019,"meta","exp"
"WFDP",0.866871275910059,"meta","exp"
"SERC",0.829216888831169,"meta","exp"
"TRCP",0.930330194087799,"meta","exp"
"WFDP",0.871784195845065,"meta","exp"
"SERC",0.834126062741709,"meta","exp"
"TRCP",0.949162565553811,"meta","exp"
"WFDP",0.868069391867467,"meta","exp"
"SERC",0.807427481935621,"meta","exp"
"TRCP",0.968871231401468,"meta","exp"
"WFDP",0.867479221929936,"meta","exp"
"SERC",0.790226819154845,"meta","exp"
"TRCP",0.955119785170941,"meta","exp"
"WFDP",0.861784139556856,"meta","exp"
"SERC",0.792292063761345,"meta","exp"
"TRCP",0.929025869216158,"meta","exp"
"WFDP",0.905401989821035,"meta","exp"
"SERC",0.833462695910554,"meta","exp"
"TRCP",0.925318546559037,"meta","exp"
"WFDP",0.881954951790672,"meta","exp"
"SERC",0.813518444232204,"meta","exp"
"TRCP",0.924366069027809,"meta","exp"
"WFDP",0.890699327220876,"meta","exp"
"SERC",0.804571277602306,"meta","exp"
"TRCP",0.970800971850951,"meta","exp"
"WFDP",0.86350940487353,"meta","exp"
"SERC",0.778648020845982,"meta","exp"
"TRCP",0.960975941042728,"meta","exp"
"WFDP",0.848516555379478,"meta","exp"
"SERC",0.837709152275887,"meta","exp"
"TRCP",0.948999665874767,"meta","exp"
"WFDP",0.866405658208415,"meta","exp"
"SERC",0.843054736332115,"meta","exp"
"TRCP",0.95343503421155,"meta","exp"
"WFDP",0.891958378267549,"meta","exp"
"SERC",0.823896036033003,"meta","exp"
"TRCP",0.929093752934049,"meta","exp"
"WFDP",0.89531563528752,"meta","exp"
"SERC",0.896226346851894,"meta","exp"
"TRCP",0.958431193541539,"meta","exp"
"WFDP",0.894956978120858,"meta","exp"
"SERC",0.840872496158344,"meta","exp"
"TRCP",0.931221626348467,"meta","exp"
"WFDP",0.839860082955918,"meta","exp"
"SERC",0.813727753741516,"meta","exp"
"TRCP",0.965487448845575,"meta","exp"
"WFDP",0.868439569985881,"meta","exp"
"SERC",0.77751970971913,"meta","exp"
"TRCP",0.94805250904698,"meta","exp"
"WFDP",0.879809296500265,"meta","exp"
"SERC",0.774965596912724,"meta","exp"
"TRCP",0.959492605601794,"meta","exp"
"WFDP",0.898171114757198,"meta","exp"
"SERC",0.792140502268255,"meta","exp"
"TRCP",0.922001922078458,"meta","exp"
"WFDP",0.890976663027602,"meta","exp"
"SERC",0.827236573556803,"meta","exp"
"TRCP",0.959376319650505,"meta","exp"
"WFDP",0.866197781680696,"meta","exp"
"SERC",0.791252679832083,"meta","exp"
"TRCP",0.928988715886817,"meta","exp"
"WFDP",0.842988076140868,"meta","exp"
"SERC",0.847424600867658,"meta","exp"
"TRCP",0.94107083439338,"meta","exp"
"WFDP",0.87079472756588,"meta","exp"
"SERC",0.766482611555671,"meta","exp"
"TRCP",0.899382020996208,"meta","exp"
"WFDP",0.877967311088851,"meta","exp"
"SERC",0.774066640733045,"meta","exp"
"TRCP",0.987671565822905,"meta","exp"
"WFDP",0.881271181622744,"meta","exp"
"SERC",0.834123984618354,"meta","exp"
"TRCP",0.955306642143661,"meta","exp"
"WFDP",0.873260527863106,"meta","exp"
"SERC",0.84158032349556,"meta","exp"
"TRCP",0.981429817888802,"meta","exp"
"WFDP",0.87439140236853,"meta","exp"
"SERC",0.808047955738919,"meta","exp"
"TRCP",0.914859556383811,"meta","exp"
"WFDP",0.854771254312333,"meta","exp"
"SERC",0.806881348470213,"meta","exp"
"TRCP",0.951744707194829,"meta","exp"
"WFDP",0.90502196789663,"meta","exp"
"SERC",0.827534700236688,"meta","exp"
"TRCP",0.986758045321242,"meta","exp"
"WFDP",0.875217138970102,"meta","exp"
"SERC",0.805577904408963,"meta","exp"
"TRCP",0.927418859078436,"meta","exp"
"WFDP",0.865020617666327,"meta","exp"
"SERC",0.841138423594208,"meta","exp"
"TRCP",0.926515063568787,"meta","exp"
"WFDP",0.874172364026733,"meta","exp"
"SERC",0.820370279348713,"meta","exp"
"TRCP",0.954434370312003,"meta","exp"
"WFDP",0.902738445604682,"meta","exp"
"SERC",0.815178621927502,"meta","exp"
"TRCP",1.00012161567634,"meta","exp"
"WFDP",0.88559141766533,"meta","exp"
"SERC",0.825324340624457,"meta","exp"
"TRCP",0.946698276410753,"meta","exp"
"WFDP",0.861508856894732,"meta","exp"
"SERC",0.789192132482324,"meta","exp"
"TRCP",0.966061964793698,"meta","exp"
"WFDP",0.896516159310424,"meta","exp"
"SERC",0.867370779739603,"meta","exp"
"TRCP",0.958363346995689,"meta","exp"
"WFDP",0.893865348240524,"meta","exp"
"SERC",0.833468557715246,"meta","exp"
"TRCP",0.936552237149816,"meta","exp"
"WFDP",0.898157758938552,"meta","exp"
"SERC",0.853667842443159,"meta","exp"
"TRCP",0.95888341263346,"meta","exp"
"WFDP",0.854025269910233,"meta","exp"
"SERC",0.822989933894599,"meta","exp"
"TRCP",0.93481297776616,"meta","exp"
"WFDP",0.871557016546172,"meta","exp"
"SERC",0.838122881590752,"meta","exp"
"TRCP",0.954099456725276,"meta","exp"
"WFDP",0.851872667317279,"meta","exp"
"SERC",0.811689821481091,"meta","exp"
"TRCP",0.954842719974582,"meta","exp"
"WFDP",0.862853852900953,"meta","exp"
"SERC",0.82562049840352,"meta","exp"
"TRCP",0.913612448267214,"meta","exp"
"WFDP",0.859651573318466,"meta","exp"
"SERC",0.770834005296636,"meta","exp"
"TRCP",0.916471267762707,"meta","exp"
"WFDP",0.887169996708394,"meta","exp"
"SERC",0.813980698812102,"meta","exp"
"TRCP",1.01100485632251,"meta","exp"
"WFDP",0.897769042219696,"meta","exp"
"SERC",0.815174864904025,"meta","exp"
"TRCP",0.970286118786379,"meta","exp"
"WFDP",0.869696939411492,"meta","exp"
"SERC",0.847199114837276,"meta","exp"
"TRCP",0.924264822461311,"meta","exp"
"WFDP",0.889761019105435,"meta","exp"
"SERC",0.862862683737221,"meta","exp"
"TRCP",0.930608067070517,"meta","exp"
"WFDP",0.923558747823892,"meta","exp"
"SERC",0.797064283160766,"meta","exp"
"TRCP",0.952256918802426,"meta","exp"
"WFDP",0.845593403784449,"meta","exp"
"SERC",0.836742883978468,"meta","exp"
"TRCP",0.935137412302662,"meta","exp"
"WFDP",0.889426545621368,"meta","exp"
"SERC",0.826929573691916,"meta","exp"
"TRCP",0.938605956263666,"meta","exp"
"WFDP",0.93006390721426,"meta","exp"
"SERC",0.821849566697138,"meta","exp"
"TRCP",0.909642258673134,"meta","exp"
"WFDP",0.87464432252929,"meta","exp"
"SERC",0.803107055777018,"meta","exp"
"TRCP",0.979336167880379,"meta","exp"
"WFDP",0.879540014164003,"meta","exp"
"SERC",0.805395929553574,"meta","exp"
"TRCP",1.01351685930165,"meta","exp"
"WFDP",0.908483650209617,"meta","exp"
"SERC",0.831792203688466,"meta","exp"
"TRCP",0.924359742969082,"meta","exp"
"WFDP",0.876970904789332,"meta","exp"
"SERC",0.835835089465576,"meta","exp"
"TRCP",0.952945461916538,"meta","exp"
"WFDP",0.869426318234296,"meta","exp"
"SERC",0.802457033852534,"meta","exp"
"TRCP",0.997199180785474,"meta","exp"
"WFDP",0.915532300074349,"meta","exp"
"SERC",0.832542065842651,"meta","exp"
"TRCP",0.959029945647155,"meta","exp"
"WFDP",0.87779098266102,"meta","exp"
"SERC",0.785802945196672,"meta","exp"
"TRCP",0.960470743084308,"meta","exp"
"WFDP",0.884705463748705,"meta","exp"
"SERC",0.827432306743408,"meta","exp"
"TRCP",0.961804529758867,"meta","exp"
"WFDP",0.845227706056549,"meta","exp"
"SERC",0.804313943752201,"meta","exp"
"TRCP",0.939488177749708,"meta","exp"
"WFDP",0.879147866241486,"meta","exp"
"SERC",0.841979039777609,"meta","exp"
"TRCP",0.963894453554697,"meta","exp"
"WFDP",0.879964075355821,"meta","exp"
"SERC",0.832225842494342,"meta","exp"
"TRCP",0.931896376012749,"meta","exp"
"WFDP",0.898523945288156,"meta","exp"
"SERC",0.837651159879886,"meta","exp"
"TRCP",0.967517280432713,"meta","exp"
"WFDP",0.907808189511612,"meta","exp"
"SERC",0.768931193438038,"meta","exp"
"TRCP",0.923593309413354,"meta","exp"
"WFDP",0.88985961460795,"meta","exp"
"SERC",0.838636174664016,"meta","exp"
"TRCP",0.912815108999115,"meta","exp"
"WFDP",0.889388858481906,"meta","exp"
"SERC",0.846126513870144,"meta","exp"
"TRCP",0.910118345043863,"meta","exp"
"WFDP",0.867074553439491,"meta","exp"
"SERC",0.876645533624884,"meta","exp"
"TRCP",0.931348309219688,"meta","exp"
"WFDP",0.861280753394588,"meta","exp"
"SERC",0.799070777794054,"meta","exp"
"TRCP",0.951113895330322,"meta","exp"
"WFDP",0.877019573402192,"meta","exp"
"SERC",0.842171963173639,"meta","exp"
"TRCP",0.962266163447345,"meta","exp"
"WFDP",0.876175153377703,"meta","exp"
"SERC",0.837199115837121,"meta","exp"
"TRCP",0.931090671617187,"meta","exp"
"WFDP",0.891397861700127,"meta","exp"
"SERC",0.816019679035399,"meta","exp"
"TRCP",0.936670496404323,"meta","exp"
"WFDP",0.891474290639665,"meta","exp"
"SERC",0.810310409720149,"meta","exp"
"TRCP",0.952057790679541,"meta","exp"
"WFDP",0.908123821617384,"meta","exp"
"SERC",0.819147836318924,"meta","exp"
"TRCP",0.940435351777952,"meta","exp"
"WFDP",0.855959577949237,"meta","exp"
"SERC",0.797157820167076,"meta","exp"
"TRCP",0.996129184721921,"meta","exp"
"WFDP",0.859638046678713,"meta","exp"
"SERC",0.850616898221875,"meta","exp"
"TRCP",0.965749741300807,"meta","exp"
"WFDP",0.869325477175519,"meta","exp"
"SERC",0.816159206229744,"meta","exp"
"TRCP",0.912592511536715,"meta","exp"
"WFDP",0.871064521915206,"meta","exp"
"SERC",0.823936660849964,"meta","exp"
"TRCP",0.96878019224295,"meta","exp"
"WFDP",0.91004445255143,"meta","exp"
"SERC",0.831766831127767,"meta","exp"
"TRCP",0.941699488743536,"meta","exp"
"WFDP",0.859785205185178,"meta","exp"
"SERC",0.774079804067208,"meta","exp"
"TRCP",0.928631442917052,"meta","exp"
"WFDP",0.845953450366972,"meta","exp"
"SERC",0.839506597103724,"meta","exp"
"TRCP",0.957020295134654,"meta","exp"
"WFDP",0.894476997154028,"meta","exp"
"SERC",0.821298732371437,"meta","exp"
"TRCP",0.963805822135623,"meta","exp"
"WFDP",0.874967930741264,"meta","exp"
"SERC",0.784640813792454,"meta","exp"
"TRCP",0.927051348231232,"meta","exp"
"WFDP",0.864196957320794,"meta","exp"
"SERC",0.837572677112961,"meta","exp"
"TRCP",0.901892530316919,"meta","exp"
"WFDP",0.912662942000923,"meta","exp"
"SERC",0.817868669462497,"meta","exp"
"TRCP",0.913337376304599,"meta","exp"
"WFDP",0.874099517505909,"meta","exp"
"SERC",0.81719708799447,"meta","exp"
"TRCP",0.933526571309136,"meta","exp"
"WFDP",0.88817170552027,"meta","exp"
"SERC",0.804305035577318,"meta","exp"
"TRCP",0.943023461955644,"meta","exp"
"WFDP",0.866529635552728,"meta","exp"
"SERC",0.793729164411744,"meta","exp"
"TRCP",0.944521209459802,"meta","exp"
"WFDP",0.912274096359556,"meta","exp"
"SERC",0.789870263392077,"meta","exp"
"TRCP",0.932895415308139,"meta","exp"
"WFDP",0.896260979752073,"meta","exp"
"SERC",0.822744692133112,"meta","exp"
"TRCP",0.986794394878727,"meta","exp"
"WFDP",0.847193114594432,"meta","exp"
"SERC",0.814085875490706,"meta","exp"
"TRCP",0.903974212058619,"meta","exp"
"WFDP",0.861352015008824,"meta","exp"
"SERC",0.817644834249554,"meta","exp"
"TRCP",0.904052812553475,"meta","exp"
"WFDP",0.883319944457586,"meta","exp"
"SERC",0.842313536160443,"meta","exp"
"TRCP",0.960875980983224,"meta","exp"
"WFDP",0.868752804455676,"meta","exp"
"SERC",0.828240483465772,"meta","exp"
"TRCP",0.958527077430896,"meta","exp"
"WFDP",0.879749480185207,"meta","exp"
"SERC",0.807894872758456,"meta","exp"
"TRCP",0.922847717754254,"meta","exp"
"WFDP",0.861167038925106,"meta","exp"
"SERC",0.771668728319169,"meta","exp"
"TRCP",0.951081388759051,"meta","exp"
"WFDP",0.892326742416845,"meta","exp"
"SERC",0.794822711443173,"meta","exp"
"TRCP",0.937017550102129,"meta","exp"
"WFDP",0.877213800202781,"meta","exp"
"SERC",0.808691532970677,"meta","exp"
"TRCP",0.963163377614941,"meta","exp"
"WFDP",0.881967587712571,"meta","exp"
"SERC",0.830714908559974,"meta","exp"
"TRCP",0.925957991563484,"meta","exp"
"WFDP",0.861907269391611,"meta","exp"
"SERC",0.83003230902457,"meta","exp"
"TRCP",0.961114325449953,"meta","exp"
"WFDP",0.88046863346203,"meta","exp"
"SERC",0.805340961149871,"meta","exp"
"TRCP",0.956257091329113,"meta","exp"
"WFDP",0.863857914998218,"meta","exp"
"SERC",0.824645399091555,"meta","exp"
"TRCP",0.914870058719206,"meta","exp"
"WFDP",0.849163641284278,"meta","exp"
"SERC",0.80541387360468,"meta","exp"
"TRCP",0.92862725321518,"meta","exp"
"WFDP",0.840697245523923,"meta","exp"
"SERC",0.837440236771775,"meta","exp"
"TRCP",0.962828699553831,"meta","exp"
"WFDP",0.862312589430637,"meta","exp"
"SERC",0.846969699969876,"meta","exp"
"TRCP",0.936602313563776,"meta","exp"
"WFDP",0.880722877474514,"meta","exp"
"SERC",0.838266094219728,"meta","exp"
"TRCP",0.957978086933853,"meta","exp"
"WFDP",0.832852059191628,"meta","exp"
"SERC",0.793260750321174,"meta","exp"
"TRCP",0.937647064257719,"meta","exp"
"WFDP",0.913942427949263,"meta","exp"
"SERC",0.837130888161364,"meta","exp"
"TRCP",0.945661616840271,"meta","exp"
"WFDP",0.870980698398683,"meta","exp"
"SERC",0.813298850202283,"meta","exp"
"TRCP",0.922907846518738,"meta","exp"
"WFDP",0.90572763787104,"meta","exp"
"SERC",0.817368892736768,"meta","exp"
"TRCP",0.924356798787686,"meta","exp"
"WFDP",0.890813115871647,"meta","exp"
"SERC",0.851626013010045,"meta","exp"
"TRCP",0.921338324291367,"meta","exp"
"WFDP",0.88336808084639,"meta","exp"
"SERC",0.831379513987738,"meta","exp"
"TRCP",0.926393323083813,"meta","exp"
"WFDP",0.886815654793984,"meta","exp"
"SERC",0.811491411651965,"meta","exp"
"TRCP",0.919539184273904,"meta","exp"
"WFDP",0.853828428499271,"meta","exp"
"SERC",0.841992823489522,"meta","exp"
"TRCP",0.934161809664478,"meta","exp"
"WFDP",0.874855597625412,"meta","exp"
"SERC",0.845877913643848,"meta","exp"
"TRCP",0.94773285976521,"meta","exp"
"WFDP",0.850784365758143,"meta","exp"
"SERC",0.803745855614147,"meta","exp"
"TRCP",0.953920914372065,"meta","exp"
"WFDP",0.899043739154627,"meta","exp"
"SERC",0.839852892169936,"meta","exp"
"TRCP",0.893835011953283,"meta","exp"
"WFDP",0.87079008607086,"meta","exp"
"SERC",0.807298346059871,"meta","exp"
"TRCP",0.955817467568068,"meta","exp"
"WFDP",0.868686804998282,"meta","exp"
"SERC",0.799471236632889,"meta","exp"
"TRCP",0.925820419903823,"meta","exp"
"WFDP",0.866793024221125,"meta","exp"
"SERC",0.848060476269509,"meta","exp"
"TRCP",0.972016116271829,"meta","exp"
"WFDP",0.854247040418965,"meta","exp"
"SERC",0.777937604868293,"meta","exp"
"TRCP",0.956053812152556,"meta","exp"
"WFDP",0.875689681819603,"meta","exp"
"SERC",0.856077504509279,"meta","exp"
"TRCP",0.923801923678289,"meta","exp"
"WFDP",0.848237335791952,"meta","exp"
"SERC",0.840427080181647,"meta","exp"
"TRCP",0.936948578137432,"meta","exp"
"WFDP",0.85585828625264,"meta","exp"
"SERC",0.810809887932655,"meta","exp"
"TRCP",0.930428419856464,"meta","exp"
"WFDP",0.900586251233404,"meta","exp"
"SERC",0.794473694767574,"meta","exp"
"TRCP",0.941121116960256,"meta","exp"
"WFDP",0.874115723129139,"meta","exp"
"SERC",0.834240330215099,"meta","exp"
"TRCP",0.875953603319502,"meta","exp"
"WFDP",0.875004567270162,"meta","exp"
"SERC",0.80966533408255,"meta","exp"
"TRCP",0.988983704297651,"meta","exp"
"WFDP",0.913906389565731,"meta","exp"
"SERC",0.799138819704988,"meta","exp"
"TRCP",0.916504417145174,"meta","exp"
"WFDP",0.85674376420515,"meta","exp"
"SERC",0.795726413131692,"meta","exp"
"TRCP",0.934051497591546,"meta","exp"
"WFDP",0.86533016731731,"meta","exp"
"SERC",0.78009550131735,"meta","exp"
"TRCP",0.897670300085887,"meta","exp"
"WFDP",0.856913394585721,"meta","exp"
"SERC",0.81950411601699,"meta","exp"
"TRCP",0.962773640631755,"meta","exp"
"WFDP",0.881584580754608,"meta","exp"
"SERC",0.848948950195767,"meta","exp"
"TRCP",0.940491065786963,"meta","exp"
"WFDP",0.854284762736782,"meta","exp"
"SERC",0.850769804234242,"meta","exp"
"TRCP",0.955248050277792,"meta","exp"
"WFDP",0.900445942517556,"meta","exp"
"SERC",0.812307985773814,"meta","exp"
"TRCP",0.913718811521856,"meta","exp"
"WFDP",0.885160477697127,"meta","exp"
"SERC",0.789435033102534,"meta","exp"
"TRCP",0.982393092163393,"meta","exp"
"WFDP",0.883059105677234,"meta","exp"
"SERC",0.800192384226585,"meta","exp"
"TRCP",0.923284799373365,"meta","exp"
"WFDP",0.873707859015122,"meta","exp"
"SERC",0.813947065295317,"meta","exp"
"TRCP",0.951453608393721,"meta","exp"
"WFDP",0.880920648075345,"meta","exp"
"SERC",0.833221864394661,"meta","exp"
"TRCP",0.924764999897781,"meta","exp"
"WFDP",0.898054779185757,"meta","exp"
"SERC",0.858030488517631,"meta","exp"
"TRCP",0.919685249883196,"meta","exp"
"WFDP",0.844127469910968,"meta","exp"
"SERC",0.83526100659108,"meta","exp"
"TRCP",0.958452186481242,"meta","exp"
"WFDP",0.879619244221345,"meta","exp"
"SERC",0.821012778240781,"meta","exp"
"TRCP",0.913088160665189,"meta","exp"
"WFDP",0.873282138220215,"meta","exp"
"SERC",0.853507104314248,"meta","exp"
"TRCP",0.938627431656127,"meta","exp"
"WFDP",0.884130824333702,"meta","exp"
"SERC",0.817845681989517,"meta","exp"
"TRCP",0.924221779925583,"meta","exp"
"WFDP",0.855721616637095,"meta","exp"
"SERC",0.860659556666384,"meta","exp"
"TRCP",0.932196867719454,"meta","exp"
"WFDP",0.886324959240254,"meta","exp"
"SERC",0.843528518481789,"meta","exp"
"TRCP",0.927629073985081,"meta","exp"
"WFDP",0.891176086313292,"meta","exp"
"SERC",0.829953967374657,"meta","exp"
"TRCP",0.91915450422507,"meta","exp"
"WFDP",0.879720829646757,"meta","exp"
"SERC",0.773728461898722,"meta","exp"
"TRCP",0.93584648873281,"meta","exp"
"WFDP",0.842302430332766,"meta","exp"
"SERC",0.799968398915624,"meta","exp"
"TRCP",0.968128261099376,"meta","exp"
"WFDP",0.878653023886034,"meta","exp"
"SERC",0.813670589824318,"meta","exp"
"TRCP",0.925745645532687,"meta","exp"
"WFDP",0.898493688612682,"meta","exp"
"SERC",0.833613494569774,"meta","exp"
"TRCP",0.939085457652359,"meta","exp"
"WFDP",0.86809373413325,"meta","exp"
"SERC",0.856821864048788,"meta","exp"
"TRCP",0.945372387289292,"meta","exp"
"WFDP",0.842120508517878,"meta","exp"
"SERC",0.807327859221581,"meta","exp"
"TRCP",0.894076134537183,"meta","exp"
"WFDP",0.878202090842132,"meta","exp"
"SERC",0.7935232601066,"meta","exp"
"TRCP",0.98374154024295,"meta","exp"
"WFDP",0.888535724506255,"meta","exp"
"SERC",0.833040086926857,"meta","exp"
"TRCP",0.915786512482006,"meta","exp"
"WFDP",0.860179176443689,"meta","exp"
"SERC",0.855515638755508,"meta","exp"
"TRCP",0.96588597290811,"meta","exp"
"WFDP",0.882803234467194,"meta","exp"
"SERC",0.834547350795816,"meta","exp"
"TRCP",0.978072452354069,"meta","exp"
"WFDP",0.894660618712205,"meta","exp"
"SERC",0.835977438439809,"meta","exp"
"TRCP",0.894040554501941,"meta","exp"
"WFDP",0.884895539840115,"meta","exp"
"SERC",0.84028621681068,"meta","exp"
"TRCP",0.930368889253872,"meta","exp"
"WFDP",0.871551062554479,"meta","exp"
"SERC",0.812564742412023,"meta","exp"
"TRCP",0.935603839439758,"meta","exp"
"WFDP",0.856582378253515,"meta","exp"
"SERC",0.788642588078986,"meta","exp"
"TRCP",0.9147857825716,"meta","exp"
"WFDP",0.884330193483936,"meta","exp"
"SERC",0.842400861942238,"meta","exp"
"TRCP",0.918875472286455,"meta","exp"
"WFDP",0.868438872530083,"meta","exp"
"SERC",0.78310066159452,"meta","exp"
"TRCP",0.932920942244642,"meta","exp"
"WFDP",0.870471766943669,"meta","exp"
"SERC",0.814498877651998,"meta","exp"
"TRCP",0.930121491923554,"meta","exp"
"WFDP",0.871462066085512,"meta","exp"
"SERC",0.819265207592476,"meta","exp"
"TRCP",0.946946962835266,"meta","exp"
"WFDP",0.90224300156641,"meta","exp"
"SERC",0.826249695978431,"meta","exp"
"TRCP",0.960616778441931,"meta","exp"
"WFDP",0.88283372467049,"meta","exp"
"SERC",0.803623573688578,"meta","exp"
"TRCP",0.955251956847419,"meta","exp"
"WFDP",0.924398964104279,"meta","exp"
"SERC",0.849298680680447,"meta","exp"
"TRCP",0.954555015632573,"meta","exp"
"WFDP",0.857717918816219,"meta","exp"
"SERC",0.807862979295236,"meta","exp"
"TRCP",0.97620733371344,"meta","exp"
"WFDP",0.881618902100338,"meta","exp"
"SERC",0.831762180236937,"meta","exp"
"TRCP",0.92126926949511,"meta","exp"
"WFDP",0.869046203099462,"meta","exp"
"SERC",0.821997934923366,"meta","exp"
"TRCP",0.940313960606454,"meta","exp"
"WFDP",0.868669695642661,"meta","exp"
"SERC",0.775629112118618,"meta","exp"
"TRCP",0.951156927185964,"meta","exp"
"WFDP",0.891466134030918,"meta","exp"
"SERC",0.843067320140018,"meta","exp"
"TRCP",0.948881332695782,"meta","exp"
"WFDP",0.899326641077954,"meta","exp"
"SERC",0.826769206888953,"meta","exp"
"TRCP",0.930221557953664,"meta","exp"
"WFDP",0.850888303779996,"meta","exp"
"SERC",0.81235330929171,"meta","exp"
"TRCP",0.922591108468043,"meta","exp"
"WFDP",0.889140914954182,"meta","exp"
"SERC",0.810665906283519,"meta","exp"
"TRCP",0.982383683776568,"meta","exp"
"WFDP",0.863405990596392,"meta","exp"
"SERC",0.780563716802588,"meta","exp"
"TRCP",0.938877690889376,"meta","exp"
"WFDP",0.902131276128247,"meta","exp"
"SERC",0.789549058559301,"meta","exp"
"TRCP",0.950708811469097,"meta","exp"
"WFDP",0.867761297424896,"meta","exp"
"SERC",0.798736730607088,"meta","exp"
"TRCP",0.932888907293937,"meta","exp"
"WFDP",0.910679686769843,"meta","exp"
"SERC",0.794677534732092,"meta","exp"
"TRCP",0.942543919007388,"meta","exp"
"WFDP",0.883213657218891,"meta","exp"
"SERC",0.811875035948482,"meta","exp"
"TRCP",0.923179208726311,"meta","exp"
"WFDP",0.861561721186505,"meta","exp"
"SERC",0.818888925994835,"meta","exp"
"TRCP",0.9623281548861,"meta","exp"
"WFDP",0.873057266046932,"meta","exp"
"SERC",0.809635144086027,"meta","exp"
"TRCP",0.950990653602919,"meta","exp"
"WFDP",0.858042856032749,"meta","exp"
"SERC",0.82096107666288,"meta","exp"
"TRCP",0.961853663899458,"meta","exp"
"WFDP",0.904114701228146,"meta","exp"
"SERC",0.82162822912617,"meta","exp"
"TRCP",0.947101891434783,"meta","exp"
"WFDP",0.925080915932165,"meta","exp"
"SERC",0.839839517770017,"meta","exp"
"TRCP",0.977779999872367,"meta","exp"
